id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00033,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24681569,-68.85192616,"https://www.google.com/maps/search/?api=1&query=10.24681569,-68.85192616"
ems_00034,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24715483,-68.85251552,"https://www.google.com/maps/search/?api=1&query=10.24715483,-68.85251552"
ems_00035,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24719541,-68.85239928,"https://www.google.com/maps/search/?api=1&query=10.24719541,-68.85239928"
ems_00036,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24729299,-68.85240178,"https://www.google.com/maps/search/?api=1&query=10.24729299,-68.85240178"
ems_00037,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24732371,-68.85231414,"https://www.google.com/maps/search/?api=1&query=10.24732371,-68.85231414"
ems_00038,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24742579,-68.84660969,"https://www.google.com/maps/search/?api=1&query=10.24742579,-68.84660969"
ems_00039,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24744683,-68.8462503,"https://www.google.com/maps/search/?api=1&query=10.24744683,-68.8462503"
ems_00040,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24751912,-68.84669205,"https://www.google.com/maps/search/?api=1&query=10.24751912,-68.84669205"
ems_00041,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24759515,-68.8548408,"https://www.google.com/maps/search/?api=1&query=10.24759515,-68.8548408"
ems_00042,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24808727,-68.84664839,"https://www.google.com/maps/search/?api=1&query=10.24808727,-68.84664839"
ems_00043,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.248162,-68.84717185,"https://www.google.com/maps/search/?api=1&query=10.248162,-68.84717185"
ems_00044,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2482137,-68.84671435,"https://www.google.com/maps/search/?api=1&query=10.2482137,-68.84671435"
ems_00045,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2482498,-68.8470063,"https://www.google.com/maps/search/?api=1&query=10.2482498,-68.8470063"
ems_00046,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24830028,-68.84704001,"https://www.google.com/maps/search/?api=1&query=10.24830028,-68.84704001"
ems_00047,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2484651,-68.8475259,"https://www.google.com/maps/search/?api=1&query=10.2484651,-68.8475259"
ems_00048,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25023298,-68.83786664,"https://www.google.com/maps/search/?api=1&query=10.25023298,-68.83786664"
ems_00049,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.25049486,-68.84489394,"https://www.google.com/maps/search/?api=1&query=10.25049486,-68.84489394"
