id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00347,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60915058,-67.0280116,"https://www.google.com/maps/search/?api=1&query=10.60915058,-67.0280116"
ems_00348,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60922995,-67.0292335,"https://www.google.com/maps/search/?api=1&query=10.60922995,-67.0292335"
ems_00349,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60930769,-67.02712397,"https://www.google.com/maps/search/?api=1&query=10.60930769,-67.02712397"
ems_00350,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60944305,-67.028879,"https://www.google.com/maps/search/?api=1&query=10.60944305,-67.028879"
ems_00351,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60945838,-67.02688338,"https://www.google.com/maps/search/?api=1&query=10.60945838,-67.02688338"
ems_00352,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60957636,-67.02680748,"https://www.google.com/maps/search/?api=1&query=10.60957636,-67.02680748"
ems_00353,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60924802,-67.03185005,"https://www.google.com/maps/search/?api=1&query=10.60924802,-67.03185005"
ems_00354,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60951985,-67.03151118,"https://www.google.com/maps/search/?api=1&query=10.60951985,-67.03151118"
ems_00355,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60963412,-67.02812401,"https://www.google.com/maps/search/?api=1&query=10.60963412,-67.02812401"
ems_00356,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60976916,-67.02689724,"https://www.google.com/maps/search/?api=1&query=10.60976916,-67.02689724"
ems_00357,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60983019,-67.02662145,"https://www.google.com/maps/search/?api=1&query=10.60983019,-67.02662145"
ems_00358,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60988498,-67.02790503,"https://www.google.com/maps/search/?api=1&query=10.60988498,-67.02790503"
ems_00359,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60990146,-67.02736937,"https://www.google.com/maps/search/?api=1&query=10.60990146,-67.02736937"
ems_00360,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60990545,-67.02779305,"https://www.google.com/maps/search/?api=1&query=10.60990545,-67.02779305"
ems_00361,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60991892,-67.02758517,"https://www.google.com/maps/search/?api=1&query=10.60991892,-67.02758517"
ems_00362,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60998908,-67.02764765,"https://www.google.com/maps/search/?api=1&query=10.60998908,-67.02764765"
ems_00363,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60999244,-67.02566427,"https://www.google.com/maps/search/?api=1&query=10.60999244,-67.02566427"
