id,damage_gra,damage_class,damage_percent,cd_value,obj_type,name,info,simplified,det_method,notation,source_layer,source_geometry,monitor_version,centroid_lat,centroid_lon,google_maps_url
monit01_00053,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48694299,-68.19737497,"https://www.google.com/maps/search/?api=1&query=10.48694299,-68.19737497"
monit01_00054,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48697817,-68.19723692,"https://www.google.com/maps/search/?api=1&query=10.48697817,-68.19723692"
monit01_00055,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48725754,-68.19731422,"https://www.google.com/maps/search/?api=1&query=10.48725754,-68.19731422"
monit01_00056,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48728197,-68.19724975,"https://www.google.com/maps/search/?api=1&query=10.48728197,-68.19724975"
monit01_00057,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48736006,-68.19733223,"https://www.google.com/maps/search/?api=1&query=10.48736006,-68.19733223"
monit01_00058,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48798386,-68.19506807,"https://www.google.com/maps/search/?api=1&query=10.48798386,-68.19506807"
monit01_00059,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48628698,-68.18887075,"https://www.google.com/maps/search/?api=1&query=10.48628698,-68.18887075"
monit01_00060,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48735484,-68.19028942,"https://www.google.com/maps/search/?api=1&query=10.48735484,-68.19028942"
monit01_00061,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48780556,-68.19015322,"https://www.google.com/maps/search/?api=1&query=10.48780556,-68.19015322"
monit01_00062,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48866598,-68.18249844,"https://www.google.com/maps/search/?api=1&query=10.48866598,-68.18249844"
monit01_00063,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48959377,-68.1875968,"https://www.google.com/maps/search/?api=1&query=10.48959377,-68.1875968"
monit01_00064,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48964526,-68.18732463,"https://www.google.com/maps/search/?api=1&query=10.48964526,-68.18732463"
monit01_00065,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48966567,-68.18767308,"https://www.google.com/maps/search/?api=1&query=10.48966567,-68.18767308"
monit01_00066,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.489706,-68.18760155,"https://www.google.com/maps/search/?api=1&query=10.489706,-68.18760155"
