id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00050,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.490869564,-68.1951515308,"https://www.google.com/maps/search/?api=1&query=10.490869564,-68.1951515308"
ems_00051,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.491160394249999,-68.19291115749999,"https://www.google.com/maps/search/?api=1&query=10.491160394249999,-68.19291115749999"
ems_00052,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.491542442465754,-68.19319830780822,"https://www.google.com/maps/search/?api=1&query=10.491542442465754,-68.19319830780822"
ems_00053,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.491630885000001,-68.19005795071429,"https://www.google.com/maps/search/?api=1&query=10.491630885000001,-68.19005795071429"
ems_00054,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.492792283146066,-68.19181805022473,"https://www.google.com/maps/search/?api=1&query=10.492792283146066,-68.19181805022473"
ems_00055,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.4924885275,-68.19583575769231,"https://www.google.com/maps/search/?api=1&query=10.4924885275,-68.19583575769231"
ems_00056,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.495793310465116,-68.19638353186046,"https://www.google.com/maps/search/?api=1&query=10.495793310465116,-68.19638353186046"
ems_00057,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.496146473,-68.19762075075,"https://www.google.com/maps/search/?api=1&query=10.496146473,-68.19762075075"
ems_00058,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.4967816225,-68.19129227916666,"https://www.google.com/maps/search/?api=1&query=10.4967816225,-68.19129227916666"
ems_00059,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Unknown,125-Industrial buildings and warehouses,"Reservoirs, silos and warehouses",Destroyed,destroyed,100,Photo-interpretation,Building block,994,2,10.497754544285714,-68.19367143571428,"https://www.google.com/maps/search/?api=1&query=10.497754544285714,-68.19367143571428"
ems_00060,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Unknown,125-Industrial buildings and warehouses,"Reservoirs, silos and warehouses",Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.498028148666666,-68.19203561733333,"https://www.google.com/maps/search/?api=1&query=10.498028148666666,-68.19203561733333"
ems_00061,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Unknown,125-Industrial buildings and warehouses,Non residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.4986753835,-68.1932605615,"https://www.google.com/maps/search/?api=1&query=10.4986753835,-68.1932605615"
ems_00062,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Unknown,125-Industrial buildings and warehouses,Non residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.500573266382979,-68.19483802787234,"https://www.google.com/maps/search/?api=1&query=10.500573266382979,-68.19483802787234"
ems_00063,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Pequiven,1251-Industrial buildings,Non residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.514804002380952,-68.19092589904761,"https://www.google.com/maps/search/?api=1&query=10.514804002380952,-68.19092589904761"
ems_00064,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Pequiven,1251-Industrial buildings,Non residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.515081885454546,-68.19051181272727,"https://www.google.com/maps/search/?api=1&query=10.515081885454546,-68.19051181272727"
ems_00065,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Pequiven,1251-Industrial buildings,Non residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.515611846,-68.19095357,"https://www.google.com/maps/search/?api=1&query=10.515611846,-68.19095357"
ems_00066,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Pequiven,1251-Industrial buildings,Non residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.515554698947367,-68.1897028131579,"https://www.google.com/maps/search/?api=1&query=10.515554698947367,-68.1897028131579"
ems_00067,EMSR884_AOI06_GRA_v1,12-Non-residential Buildings,Unknown,125-Industrial buildings and warehouses,Non residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,2,2,10.48344159,-68.16809599,"https://www.google.com/maps/search/?api=1&query=10.48344159,-68.16809599"
ems_00068,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.490985396212121,-68.175806345,"https://www.google.com/maps/search/?api=1&query=10.490985396212121,-68.175806345"
ems_00069,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.492202242941177,-68.17368719470588,"https://www.google.com/maps/search/?api=1&query=10.492202242941177,-68.17368719470588"
ems_00070,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.49255338652174,-68.17733688782609,"https://www.google.com/maps/search/?api=1&query=10.49255338652174,-68.17733688782609"
ems_00071,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.493328478,-68.176391685,"https://www.google.com/maps/search/?api=1&query=10.493328478,-68.176391685"
ems_00072,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.493575884285715,-68.17549873571429,"https://www.google.com/maps/search/?api=1&query=10.493575884285715,-68.17549873571429"
ems_00073,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.496196937,-68.17889625699999,"https://www.google.com/maps/search/?api=1&query=10.496196937,-68.17889625699999"
